chapter,quote,note
2 Descriptive Statistics: Who was the best baseball player of all time?,let’s think about why the measuring of dispersion matters,
2 Descriptive Statistics: Who was the best baseball player of all time?,"people and some bizarrely large people. The weights of the airline passengers are “more spread out,” which is an important attribute when it comes to describing the weights of these two groups. The standard deviation is the descriptive statistic that allows us to assign a single number to this dispersion around the mean",
2 Descriptive Statistics: Who was the best baseball player of all time?,"On the basis of the descriptive tools introduced so far, the weights of the airline passengers and the marathoners are nearly identical. But they’re not. Yes, the weights of the two groups have roughly the same “middle,” but the airline passengers have far more dispersion around that midpoint, meaning that their weights are spread farther from the midpoint. My eight-year-old son might point out that the marathon runners look like they all weigh the same amount, while the airline passengers have some tiny",
2 Descriptive Statistics: Who was the best baseball player of all time?,"standard deviation, which is a measure of how dispersed the data are from their mean. In other words, how spread out are the observations",
2 Descriptive Statistics: Who was the best baseball player of all time?,"If 43 correct answers falls into the 83rd percentile, then this student is doing better than most of his peers statewide. If he’s in the 8th percentile, then he’s really struggling. In this case, the percentile (the relative score) is more meaningful than the number of correct answers (the absolute score).",
2 Descriptive Statistics: Who was the best baseball player of all time?,"If I place ninth in the golf tournament, that is a relative statistic. A “relative” value or figure has meaning only in comparison to something else, or in some broader context, such as compared with the eight golfers who shot better than I did",
2 Descriptive Statistics: Who was the best baseball player of all time?,"Absolute figures can usually be interpreted without any context or additional information. When I tell you that I shot 83, you don’t need to know what other golfers shot that day in order to evaluate my performance",
2 Descriptive Statistics: Who was the best baseball player of all time?,"An “absolute” score, number, or figure has some intrinsic meaning",
2 Descriptive Statistics: Who was the best baseball player of all time?,The benefit of these kinds of descriptive statistics is that they describe where a particular observation lies compared with everyone else,"Quartile (25%s), deciles (10%s), percentiles (1%s) are all used to show where *""you""* rank *relative to* your peers"
2 Descriptive Statistics: Who was the best baseball player of all time?,"For distributions without serious outliers, the median and the mean will be similar",
2 Descriptive Statistics: Who was the best baseball player of all time?,"If we return to the bar stool example, the median annual income for the ten guys originally sitting in the bar is $35,000. When Bill Gates walks in with his parrot and perches on a stool, the median annual income for the eleven of them is still $35,000",
2 Descriptive Statistics: Who was the best baseball player of all time?,"The median is the point that divides a distribution in half, meaning that half of the observations lie above the median and half lie below. (If there is an even number of observations, the median is the midpoint between the two middle observations",
2 Descriptive Statistics: Who was the best baseball player of all time?,"The sensitivity of the mean to outliers is why we should not gauge the economic health of the American middle class by looking at per capita income. Because there has been explosive growth in incomes at the top end of the distribution—CEOs, hedge fund managers, and athletes like Derek Jeter—the average income in the United States could be heavily skewed by the megarich",
2 Descriptive Statistics: Who was the best baseball player of all time?,"The mean, or average, turns out to have some problems in that regard, namely, that it is prone to distortion by “outliers,” which are observations that lie farther from the center",
2 Descriptive Statistics: Who was the best baseball player of all time?,You would simply tally the total number of quality problems reported for all printers during the warranty period and then divide by the total number of printers sold,Num_problems / num_units_sold
2 Descriptive Statistics: Who was the best baseball player of all time?,"The most basic measure of the “middle” of a distribution is the mean, or average",
2 Descriptive Statistics: Who was the best baseball player of all time?,"The first descriptive task is often to find some measure of the “middle” of a set of data, or what statisticians might describe as its “central tendency",
2 Descriptive Statistics: Who was the best baseball player of all time?,The bad news is that any simplification invites abuse. Descriptive statistics can be like online dating profiles: technically accurate and yet pretty darn misleading,
2 Descriptive Statistics: Who was the best baseball player of all time?,"The irony is that more data can often present less clarity. So we simplify. We perform calculations that reduce a complex array of data into a handful of numbers that describe those data, just as we might encapsulate a complex, multifaceted Olympic gymnastics performance with one number: 9.8.",
2 Descriptive Statistics: Who was the best baseball player of all time?,"From baseball to income, the most basic task when working with data is to summarize a great deal of information",
1 What’s the Point?," reality is that you can lie with statistics. Or you can make inadvertent errors. In either case, the mathematical precision attached to statistical analysis can dress up some serious nonsense",
1 What’s the Point?,Smart and honest people will often disagree about what the data are trying to tell us,
1 What’s the Point?,"that aphorism applies to research, too. We conduct statistical analysis using the best data and methodologies and resources available. The approach is not like addition or long division, in which the correct technique yields the “right” answer and a computer is always more precise and less fallible than a human. Statistical analysis is more like good detective work",
1 What’s the Point?,"Rumsfeld famously said, “You go to war with the army you have—not the army you might want or wish to have at a later time",
1 What’s the Point?,"Even in the best of circumstances, statistical analysis rarely unveils “the truth.” We are usually building a circumstantial case based on imperfect data. As a result, there are numerous reasons that intellectually honest individuals may disagree about statistical results or their implications",
1 What’s the Point?,"researchers will gather detailed information on thousands of people, including how frequently they eat bran muffins, and then use regression analysis to do two crucial things: (1) quantify the association observed between eating bran muffins and contracting colon cancer (e.g., a hypothetical finding that people who eat bran muffins have a 9 percent lower incidence of colon cancer, controlling for other factors that may affect the incidence of the disease); and (2) quantify the likelihood that the association between bran muffins and a lower rate of colon cancer observed in this study is merely a coincidence—a quirk in the data for this sample of people—rather than a meaningful insight about the relationship between diet and health.",
1 What’s the Point?,"Regression analysis is the tool that enables researchers to isolate a relationship between two variables, such as smoking and cancer, while holding constant (or “controlling for”) the effects of other important variables, such as diet, exercise, weight, and so on",
1 What’s the Point?,data present unorganized clues—the crime scene. Statistical analysis is the detective work that crafts the raw data into some meaningful conclusion.,
1 What’s the Point?,"As a result, statistics is a lot like good detective work",
1 What’s the Point?,"Couldn’t we just skip the whole fancy methodology and compare cancer rates at the twentieth reunion between those who have smoked since graduation and those who have not? 

No. Smokers and nonsmokers are likely to be different in ways other than their smoking behavior",
1 What’s the Point?,We can conduct controlled experiments on humans when our hypothesis is that a new drug or treatment may improve their health; we cannot knowingly expose human subjects when we expect an adverse outcome,
1 What’s the Point?,interest is what caused that outcome,
1 What’s the Point?,"The scientific method dictates that if we are testing a scientific hypothesis, we should conduct a controlled experiment in which the variable of interest (e.g., smoking) is the only thing that differs between the experimental group and the control group. If we observe a marked difference in some outcome between the two groups (e.g., lung cancer), we can safely infer that the variable of",
1 What’s the Point?,Probability is one weapon in an arsenal that requires good judgment,
1 What’s the Point?,the point here is that any model to deal with risk must have probability as its foundation,
1 What’s the Point?,"However, any business facing uncertainty can manage these risks by engineering processes so that the probability of an adverse outcome, anything from an environmental catastrophe to a defective product, becomes acceptably low.",
1 What’s the Point?,"Sampling requires far less resources than trying to count an entire population; done properly, it can be every bit as accurate",
1 What’s the Point?,"One important statistical practice is sampling, which is the process of gathering data for a small area, say, a handful of census tracts, and then using those data to make an informed judgment, or inference, about the homeless population for the city as a whole",
1 What’s the Point?,"One key function of statistics is to use the data we have to make informed conjectures about larger questions for which we do not have full information. In short, we can use data from the “known world” to make informed inferences about the “unknown world",
1 What’s the Point?,"Descriptive statistics exist to simplify, which always implies some loss of nuance or detail. Anyone working with numbers needs to recognize as much",
1 What’s the Point?,"one theme of this book will be that an overreliance on any descriptive statistic can lead to misleading conclusions, or cause undesirable behavior",
1 What’s the Point?,"The point is that statistics helps us process data, which is really just a fancy name for information. Sometimes the data are trivial in the grand scheme of things, as with sports statistics. Sometimes they offer insight into the nature of human existence, as with the Gini index.",
1 What’s the Point?,"That is a very helpful synopsis of what happened on the field. Does it simplify things? Yes, that is both the strength and the weakness of any descriptive statistic","Summarizing events into a simple number, then comparing two such events across time may be an accurate representation if the events but it's far from precise. The back of the book contains far less helpful and interesting information than the book itself."
1 What’s the Point?,Statistics rarely offers a single “right” way of doing anything. Does it provide meaningful information in an easily accessible way? Absolutely. It’s a nice tool for making a quick comparison between the performances of two quarterbacks on a given day,"Just because ""it's math,"" even done correctly (maybe even properly), doesn't mean it's perfectly applicable, helpful, or useful."
Introduction: Why I hated calculus but love statistics,"In the end, I hope to persuade you of the observation first made by Swedish mathematician and writer Andrejs Dunkels: It’s easy to lie with statistics, but it’s hard to tell the truth without them.",
Introduction: Why I hated calculus but love statistics,"anyone with data and a computer can do sophisticated statistical procedures with a few keystrokes. The problem is that if the data are poor, or if the statistical techniques are used improperly, the conclusions can be wildly misleading and even potentially dangerous.",
